Var1	Var2	Corr	Pvalue
indentometer	indentometer	1	0
corneometer	indentometer	-0.062824561799356	0.0783627186926171
tewameter	indentometer	0.099977236613492	0.00502382739946798
melanin	indentometer	0.042521079458062	0.233752054808151
erythema	indentometer	0.0124237374504133	0.728015053365249
Age	indentometer	-0.00356073665706755	0.920606989205739
MARKVU.PGA.AGE	indentometer	-0.0213935245785798	0.553607309449599
height	indentometer	0.0044811974581651	0.902229096181671
weight	indentometer	0.00865289874106386	0.811882238247815
BMI	indentometer	-0.00571954029408129	0.875571815156059
SUR1_GY	indentometer	-0.0744066855534464	0.0376220229182579
SUR1.T2D	indentometer	-0.0237700006352905	0.507128739112219
SUR1.HBP	indentometer	-0.0200407150004941	0.5760085200409
SUR1.Hlip	indentometer	-0.0773020332885065	0.030766123351698
SUR1.T2D.HBP.Hlip	indentometer	-0.0811359756821342	0.0233557770746557
SUR1.T2D.Hlip	indentometer	-0.0603280391997636	0.0920301576189715
SUR1.PAD	indentometer	-0.0237859463919274	0.506843773340646
SUR1.Tuber	indentometer	-0.0348524627727197	0.330684749871636
SUR1.stroke	indentometer	-0.0301924555652326	0.399446376899749
SUR2.1	indentometer	0.0342308892941192	0.339697403752571
SUR2.2	indentometer	0.0844879245554771	0.0183470923334883
SUR2.3	indentometer	0.0388247865986985	0.280365446771688
SUR2.4	indentometer	0.0046939753652286	0.89633260483547
SUR2.5	indentometer	0.000891251626376404	0.980250134701061
SUR2.6	indentometer	0.0473642935501266	0.188065216128203
SUR2.7	indentometer	0.0214117402993781	0.555608455383594
SUR3.2	indentometer	-0.0300626162174437	0.40390731723841
SUR3.3	indentometer	-0.032126847477233	0.377085974147854
SUR3.4	indentometer	0.0416270305934592	0.245856867118224
SUR4.1	indentometer	-0.0532467839946283	0.137846402581174
SUR4.3	indentometer	-0.0191639053808664	0.595205761577461
SUR5.1	indentometer	0.0141325604123673	0.693516356269244
SUR5.2	indentometer	0.0330871796589921	0.357328039337596
SUR5.3	indentometer	-0.00793771665825693	0.82505236745435
SUR5.4	indentometer	0.0279723237394647	0.434727812732657
SUR5.5_GY	indentometer	0.054170208253285	0.130394761988694
SUR5.6_GY	indentometer	0.0349514791849959	0.329311905523811
indentometer	corneometer	-0.062824561799356	0.0783627186926171
corneometer	corneometer	1	0
tewameter	corneometer	0.133245781908233	0.00017938335127253
melanin	corneometer	-0.0970468009949167	0.0064716828801365
erythema	corneometer	-0.0499213113250457	0.162046133098515
Age	corneometer	-0.111166382217229	0.00180026567017522
MARKVU.PGA.AGE	corneometer	0.0532779090884235	0.139920600705109
height	corneometer	-0.10081773319722	0.00559136335210411
weight	corneometer	0.0310575664399308	0.392866530134384
BMI	corneometer	-0.00994587909337908	0.785395143837038
SUR1_GY	corneometer	0.0577392153271221	0.106883040475301
SUR1.T2D	corneometer	0.0484234544299675	0.176411872747245
SUR1.HBP	corneometer	0.061117081286762	0.0878478658619151
SUR1.Hlip	corneometer	0.0175290636619438	0.624751943668155
SUR1.T2D.HBP.Hlip	corneometer	0.0603429581122008	0.091949625366515
SUR1.T2D.Hlip	corneometer	0.0549630375816721	0.12485316843191
SUR1.PAD	corneometer	0.0221220790889713	0.537025461052501
SUR1.Tuber	corneometer	0.00637375989456737	0.858848628062066
SUR1.stroke	corneometer	0.0136516701453815	0.703261568680762
SUR2.1	corneometer	-0.0245482342831864	0.493597302319362
SUR2.2	corneometer	-0.0311671104240495	0.385007942551551
SUR2.3	corneometer	-0.0603883802255668	0.0929648604141113
SUR2.4	corneometer	-0.00825779751182342	0.818695675262864
SUR2.5	corneometer	-0.0307959077913165	0.392226409260502
SUR2.6	corneometer	-0.100297347760193	0.00522388759917024
SUR2.7	corneometer	-0.0394375904897097	0.277544366982744
SUR3.2	corneometer	-0.0397795942886057	0.269317935707474
SUR3.3	corneometer	-0.0380087155526097	0.295977208118063
SUR3.4	corneometer	-0.0249093918774989	0.487540071260916
SUR4.1	corneometer	0.0492359206341879	0.170080752963246
SUR4.3	corneometer	-0.00956220097727317	0.790941807865581
SUR5.1	corneometer	-0.00792221503451497	0.825167141066385
SUR5.2	corneometer	-0.00967774914823342	0.787804549468476
SUR5.3	corneometer	0.0112378620676557	0.754311312468444
SUR5.4	corneometer	-0.0396928703258158	0.26758413044867
SUR5.5_GY	corneometer	0.00718188924213169	0.841176441369914
SUR5.6_GY	corneometer	0.0133320162710543	0.709891860814347
indentometer	tewameter	0.099977236613492	0.00502382739946798
corneometer	tewameter	0.133245781908233	0.00017938335127253
tewameter	tewameter	1	0
melanin	tewameter	-0.0458664214907172	0.198957830265747
erythema	tewameter	0.0116249829922767	0.744873254056459
Age	tewameter	-0.074115423633865	0.0377620751996719
MARKVU.PGA.AGE	tewameter	0.0698641020606225	0.0527935130179404
height	tewameter	-0.0244532738058357	0.502570869191428
weight	tewameter	0.133841598462639	0.000217388316028832
BMI	tewameter	0.11259715681358	0.00198537412308028
SUR1_GY	tewameter	0.0109340576176052	0.76029989664789
SUR1.T2D	tewameter	-0.00201136688463455	0.955245858696391
SUR1.HBP	tewameter	0.0286660033242699	0.423715308991101
SUR1.Hlip	tewameter	0.00233896183280189	0.947966270409432
SUR1.T2D.HBP.Hlip	tewameter	0.0027427677653935	0.938999200659779
SUR1.T2D.Hlip	tewameter	-0.00698359990538992	0.845505604746673
SUR1.PAD	tewameter	0.0218980088637301	0.541157806401773
SUR1.Tuber	tewameter	0.0219413939487287	0.540356454492851
SUR1.stroke	tewameter	0.0257964998802231	0.471596526940486
SUR2.1	tewameter	0.0103673019476333	0.772515259811919
SUR2.2	tewameter	0.0197787127071564	0.581494776167092
SUR2.3	tewameter	0.0250680051550661	0.485898665948733
SUR2.4	tewameter	0.0373920342085679	0.299136512665962
SUR2.5	tewameter	0.0462534201741956	0.198646256495833
SUR2.6	tewameter	-0.0137015513026827	0.703507004797315
SUR2.7	tewameter	0.0181164028853314	0.618023421272665
SUR3.2	tewameter	-0.00854704035243179	0.812461224576159
SUR3.3	tewameter	-0.0415683776494445	0.253014671506605
SUR3.4	tewameter	-0.0116371187936052	0.745719964165377
SUR4.1	tewameter	0.0194133665714149	0.588734666321102
SUR4.3	tewameter	-0.0364881429940283	0.311607265218711
SUR5.1	tewameter	0.0507721536897643	0.156591506127514
SUR5.2	tewameter	-0.0403012486887164	0.262156485965336
SUR5.3	tewameter	0.0248304399689428	0.48920122385862
SUR5.4	tewameter	0.00877272292948008	0.806506749253831
SUR5.5_GY	tewameter	-0.00526090027777499	0.883298856451084
SUR5.6_GY	tewameter	0.0713435508626306	0.0462460520757925
indentometer	melanin	0.042521079458062	0.233752054808151
corneometer	melanin	-0.0970468009949167	0.0064716828801365
tewameter	melanin	-0.0458664214907172	0.198957830265747
melanin	melanin	1	0
erythema	melanin	0.370627426108924	5.32816184088437e-27
